sample;country;countryspecies;population;latwgs84;lonwgs84;latetrs89;lonetrs89;Bio01;Bio02;Bio03;Bio04;Bio05;Bio06;Bio07;Bio08;Bio09;Bio10;Bio11;Bio12;Bio13;Bio14;Bio15;Bio16;Bio17;Bio18;Bio19;gmted;pH.top;pH.dee
AT_FS_14_16;AT;AT_FS;AT_FS_14;46.58447;14.27065;2617321.54;4648443.848;9.84384364417489;9.1;29.3702398047471;768.891266662899;24.5091568682362;-6.42094557288416;30.9301024411204;19.4091568682362;1.44384364417487;19.4091568682362;-0.520603327016686;1234.81322532724;144.850501898143;45.4905126872968;30.4964636791862;414.34695011614;174.48508054868;414.34695011614;181.32998400826;485.712723575511;5.68696875103136;5.69862325331606
AT_FS_14_17;AT;AT_FS;AT_FS_14;46.58399;14.27014;2617266.056;4648407.747;9.80208364400768;9.1;29.3914942793401;768.228001915165;24.4616368680459;-6.45082557300379;30.9124624410497;19.3616368680459;1.40208364400767;19.3616368680459;-0.546868852614042;1238.32493663156;145.200724001514;45.6287382133426;30.4853036791415;415.343645375053;174.998022652703;415.343645375053;181.907726112542;492.623999877789;5.70372121716724;5.70817313878691
AT_FS_14_18;AT;AT_FS;AT_FS_14;46.58355;14.26977;2617215.626;4648382.119;9.76848364387334;9.1;29.4085532069836;767.686372637247;24.4227568678905;-6.47470557309927;30.8974624409898;19.3227568678905;1.36848364387333;19.3227568678905;-0.568689925125938;1241.20614988825;145.483488292343;45.7449992862319;30.473903679096;416.15165610253;175.425266944109;416.15165610253;182.389690404167;498.249853521512;5.71816104639287;5.71621341347239
AT_FS_14_19;AT;AT_FS;AT_FS_14;46.58356;14.27005;2617217.97;4648403.5;9.78228364392842;9.1;29.4031388954435;767.866275753149;24.436676867946;-6.46438557305807;30.9010624410041;19.336676867946;1.38228364392841;19.336676867946;-0.560184236610538;1240.14603354109;145.363545537938;45.7115335976172;30.4709036790838;415.821799216399;175.289004189641;415.821799216399;182.239147649642;496.059369088702;5.7180066700954;5.7176545644207
AT_FS_14_20;AT;AT_FS;AT_FS_14;46.57957;14.26357;2616746.903;4647931.778;9.3276036421092;9.1;29.5780253244238;761.402851444483;23.9341168659352;-6.79342557437462;30.7275424403099;18.8341168659353;0.927603642109175;18.8341168659353;-0.88785780964096;1278.88395441938;149.384319840903;47.1580871751241;30.4050236788204;427.109254978755;180.769938498447;427.109254978755;188.366281961034;572.689047981205;5.83421294754938;5.76132008242808
AT_FS_14_21;AT;AT_FS;AT_FS_14;46.57939;14.26371;2616727.556;4647943.605;9.32784364211016;9.1;29.578745735708;761.369727331537;23.9321968659275;-6.79270557437173;30.7249024402993;18.8321968659276;0.927843642110138;18.8321968659276;-0.889057398364484;1279.02242167022;149.381678195768;47.1734467639043;30.3968636787878;427.114290865962;180.812416853492;427.114290865962;188.417160316112;572.821027417671;5.83728606699426;5.76262712354902
AT_FS_14_22;AT;AT_FS;AT_FS_14;46.57684;14.26148;2616434.929;4647788.475;9.3182764982543;9.09722728859771;29.5971271118158;761.304531276065;23.910485202214;-6.78961497456786;30.7001001767819;18.836731978519;0.918276498254285;18.836731978519;-0.897406270608147;1289.71790393286;150.292223607895;47.6625938940889;30.2977856061824;429.723919483837;182.477770467248;429.723919483837;190.377507154848;575.297960629097;5.90632020141722;5.82734202191279
AT_FS_14_23;AT;AT_FS;AT_FS_14;46.57941;14.26347;2616728.718;4647925.102;9.31704364206718;9.1;29.5814791501824;761.24831318642;23.9216368658856;-6.80086557440423;30.7225024402898;18.8216368658856;0.917043642067158;18.8216368658856;-0.896883983932004;1279.87056582522;149.481144538309;47.19855334954;30.4004636788024;427.384556722402;180.917643196055;427.384556722402;188.532226658714;574.577956701475;5.83763961967853;5.76268119116403
AT_FS_14_24;AT;AT_FS;AT_FS_14;46.57982;14.26361;2616774.806;4647933.306;9.33852364215293;9.1;29.5740641811538;761.579742877733;23.948036865991;-6.78598557434482;30.7340224403358;18.848036865991;0.938523642152913;18.848036865991;-0.877898952855229;1277.79030985588;149.28448441352;47.1087683181808;30.4135436788545;426.819586410136;180.596183070768;426.819586410136;188.169606533263;570.656305135771;5.82918888476575;5.75926989283534
AT_FS_14_25;AT;AT_FS;AT_FS_14;46.58263;14.26605;2617097.198;4648102.903;9.55680364302634;9.1;29.4933488441267;764.789776257619;24.2000368669993;-6.63070557372348;30.8307424407228;19.1000368669993;1.15680364302634;19.1000368669993;-0.706614288873988;1258.18836521528;147.327825752507;46.3278836517603;30.4854236791421;421.274419754989;177.713124406048;421.274419754989;184.93338786713;532.65967181896;5.75112537873855;5.72067392542409
CH_FS_11_01;CH;CH_FS;CH_FS_11;47.23668;7.47344;2683608.096;4129584.569;7.7659853593972;8.4;33.8279209863119;606.020945949814;20.5316080046596;-4.2159707751305;24.7475787797901;14.1316080046596;3.57684350917385;15.7234412600269;0.0948873746461537;1661.98610874217;165.152821610147;108.716293220133;12.5302642615877;472.80348892242;354.565653808734;464.718400723679;381.990594701701;855.033339032085;5.99275926199838;6.36814331730339
CH_FS_11_02;CH;CH_FS;CH_FS_11;47.236836;7.473712;2683624.715;4129605.739;7.74852029856115;8.4;33.8457289863827;605.709921838263;20.5099189438068;-4.22546783593489;24.7353867797417;14.1099189438068;3.55709497871206;15.7036241991816;0.083106844216024;1662.61187201545;165.219356549644;108.753808689899;12.5339397312191;472.999733740898;354.687539687684;464.909941542139;382.119948050297;858.268186336932;5.99002051409743;6.36485464418237
CH_FS_11_03;CH;CH_FS;CH_FS_11;47.236999;7.474424;2683640.976;4129660.254;7.74548780723171;8.4;33.8540689864162;605.816406818781;20.5076064524802;-4.22530832725151;24.7329147797317;14.1076064524802;3.55176873303203;15.7032677078628;0.0809725985488095;1662.46267011905;165.206556058276;108.736446444171;12.542821485596;472.993756266925;354.62971870482;464.909316068187;382.054436821743;859.052205298143;5.98575084549938;6.36055995750012
